ID,Age,Has_job,Own_house,Credit_rating,Has_Existing_Loan,Outcome
1,young,FALSE,FALSE,fair,TRUE,No
2,young,FALSE,FALSE,good,TRUE,No
3,young,TRUE,FALSE,good,TRUE,Yes
4,young,TRUE,TRUE,fair,TRUE,Yes
5,young,FALSE,FALSE,fair,TRUE,No
6,middle,FALSE,FALSE,fair,TRUE,No
7,middle,FALSE,FALSE,good,TRUE,No
8,middle,TRUE,TRUE,good,TRUE,Yes
9,middle,FALSE,TRUE,excellent,TRUE,Yes
10,middle,FALSE,TRUE,excellent,FALSE,Yes
11,old,FALSE,TRUE,excellent,FALSE,Yes
12,old,FALSE,TRUE,good,FALSE,Yes
13,old,TRUE,FALSE,good,FALSE,Yes
14,old,TRUE,FALSE,excellent,FALSE,Yes
15,old,FALSE,FALSE,fair,TRUE,No
16,young,FALSE,FALSE,fair,FALSE,Yes
17,young,FALSE,FALSE,fair,TRUE,No
